Report_No,Reported_Date,Reported Time,From_Date,From Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1
90001101,01-05-2009 00:00,16:59,01-02-2009 00:00,16:00,650,23G,Stealing Auto Parts/,113,1200  OAK ST,KANSAS CITY,64106,PJ1098,CPD,U,1,SUS,U,U,,"1200 OAK ST
KANSAS CITY, MO 64106
(39.09954318700045, -94.57860608699968)"
90001106,01-05-2009 00:00,16:45,01-05-2009 00:00,14:30,301,120,Strong Arm Robbery,331,3200  INDIANA AV,KANSAS CITY,64128,PJ2583,EPD,U,2,SUS,B,M,17,"3200 INDIANA AV
KANSAS CITY, MO 64128
(39.06858469700046, -94.54372769799966)"
90001105,01-05-2009 00:00,16:35,01-05-2009 00:00,15:12,630,23C,Stealing Shoplifting,643,8500  N CHURCH RD,KANSAS CITY,64157,PC0282,SCP,U,1,VIC,,,,"8500 CHURCH RD
KANSAS CITY, MO 64157
(39.2460676770005, -94.45868106599966)"
90001105,01-05-2009 00:00,16:35,01-05-2009 00:00,15:12,630,23C,Stealing Shoplifting,643,8500  N CHURCH RD,KANSAS CITY,64157,PC0282,SCP,U,1,ARR,W,F,19,"8500 CHURCH RD
KANSAS CITY, MO 64157
(39.2460676770005, -94.45868106599966)"
90001099,01-05-2009 00:00,16:56,12/18/2008 0:00,09:55,831,13C,Intimidation,115,2600  CAMPBELL ST,KANSAS CITY,64108,PJ2142,CPD,U,1,VIC,W,M,31,"2600 CAMPBELL ST
KANSAS CITY, MO 64108
(39.07941296200045, -94.57361616899965)"
90001100,01-05-2009 00:00,16:11,01-05-2009 00:00,16:11,2402,90C,Disorderly Conduct,112,E 8 ST/GRAND AV,KANSAS CITY,64105,PJ0721,CPD,U,1,ARR,W,M,27,"8 ST GRAND AV
KANSAS CITY, MO 64105
(39.10362371800045, -94.58633903699968)"
90001098,01-05-2009 00:00,16:53,12/31/2008 0:00,10:00,650,23G,Stealing Auto Parts/,224,1300  E 63 ST,KANSAS CITY,64110,PJ4897,MPD,U,1,VIC,U,U,,"1300 63 ST
KANSAS CITY, MO 64110
(39.01318788600048, -94.57198997499967)"
90028193,4/18/2009 0:00,09:14,4/18/2009 0:00,08:45,2661,100,Kidnapping/Abduction,212,5100  OAK LEAF DR,KANSAS CITY,64129,PJ4311,MPD,U,1,VIC,W,M,58,"5100 OAK LEAF DR
KANSAS CITY, MO 64129
(39.030138657000464, -94.50249432999965)"
90032662,05-04-2009 00:00,15:26,05-04-2009 00:00,15:20,802,13B,Non Agg Assault Dome,321,JACKSON AV/E TRUMAN RD,KANSAS CITY,64130,PJ1377,EPD,U,1,VIC,W,F,24,"JACKSON AV E TRUMAN RD KANSAS CITY, MO 64130
(39.03332152900049, -94.5441881379997)"
90001131,01-05-2009 00:00,18:01,01-05-2009 00:00,17:55,801,13B,Non Aggravated Assau,342,8600  E 32 ST,KANSAS CITY,64129,PJ2738,EPD,U,1,VIC,W,M,15,"8600 32 ST
KANSAS CITY, MO 64129
(39.065336104000494, -94.48395177699967)"
90001116,01-05-2009 00:00,17:40,12-02-2008 00:00,12:00,1001,250,Forgery,222,5200  GARFIELD AV,KANSAS CITY,64130,PJ4206,MPD,U,1,SUS,U,U,,"5200 GARFIELD AV
KANSAS CITY, MO 64130
(39.03206263600049, -94.56070610499967)"
90001116,01-05-2009 00:00,17:40,12-02-2008 00:00,12:00,1001,250,Forgery,222,5200  GARFIELD AV,KANSAS CITY,64130,PJ4206,MPD,U,1,VIC,B,F,60,"5200 GARFIELD AV
KANSAS CITY, MO 64130
(39.03206263600049, -94.56070610499967)"
90001124,01-05-2009 00:00,18:08,01-05-2008 00:00,18:05,630,23C,Stealing Shoplifting,345,11600  E US 40 HW E,INDEPENDENCE,64133,PJX007,EPD,U,1,VIC,,,,"11600 US
HW E INDEPENDENCE, MO 64133
(39.01552004100046, -94.45947791099968)"
90001108,01-05-2009 00:00,16:37,01-05-2009 00:00,16:15,1401,290,Property Damage,635,4100  N WHEELING AV,KANSAS CITY,64119,PC1230,SCP,U,1,VIC,W,F,34,"4100 WHEELING AV
KANSAS CITY, MO 64119
(38.92507321700049, -94.5192259909997)"
90001115,01-05-2009 00:00,17:21,01-05-2009 00:00,11:30,501,220,Burglary - Residence,341,6600  E 12 TE,KANSAS CITY,64126,PJ1297,EPD,U,1,SUS,U,U,,"6600 12
TE KANSAS CITY, MO 64126
(39.09222386900046, -94.47490637999965)"
90001111,01-05-2009 00:00,16:03,01-05-2009 00:00,00:01,640,23F,Stealing From Auto,633,1400  NE VIVION RD ,KANSAS CITY,64118,PC1033,SCP,U,1,SUS,U,U,,"1400 VIVION RD
KANSAS CITY, MO 64118
(39.18293528200047, -94.59760371799968)"
90001133,01-05-2009 00:00,17:51,01-05-2009 00:00,17:51,2655,90J,Trespassing,122,1100  E 11 ST,KANSAS CITY,64106,PJ0969,CPD,U,1,ARR,B,M,48,"1100 11 ST
KANSAS CITY, MO 64106
(39.10068851000045, -94.5694600759997)"
90001115,01-05-2009 00:00,17:21,01-05-2009 00:00,11:30,501,220,Burglary - Residence,341,6600  E 12 TE,KANSAS CITY,64126,PJ1297,EPD,U,1,VIC,B,M,43,"6600 12
TE KANSAS CITY, MO 64126
(39.09222386900046, -94.47490637999965)"
90001130,01-05-2009 00:00,18:20,01-05-2009 00:00,18:20,630,23C,Stealing Shoplifting,345,11600  E US 40 HW E,INDEPENDENCE,64133,PJX007,EPD,U,1,VIC,,,,"11600 US
HW E INDEPENDENCE, MO 64133
(39.01552004100046, -94.45947791099968)"
90001121,01-05-2009 00:00,17:09,01-05-2009 00:00,16:30,2655,90J,Trespassing,141,800  E ARMOUR BL,KANSAS CITY,64111,PJ2847,CPD,U,1,ARR,B,M,17,"800 ARMOUR
BL KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
90001121,01-05-2009 00:00,17:09,01-05-2009 00:00,16:30,2655,90J,Trespassing,141,800  E ARMOUR BL,KANSAS CITY,64111,PJ2847,CPD,U,1,VIC,,,,"800 ARMOUR
BL KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
90001131,01-05-2009 00:00,18:01,01-05-2009 00:00,17:55,801,13B,Non Aggravated Assau,342,8600  E 32 ST,KANSAS CITY,64129,PJ2738,EPD,U,1,SUS,W,M,13,"8600 32 ST
KANSAS CITY, MO 64129
(39.065336104000494, -94.48395177699967)"
90001114,01-05-2009 00:00,17:36,08-01-2006 00:00,09:00,1120,26A,Fraud,141,800  E 31 TE,KANSAS CITY,64109,PJ2554,CPD,U,1,SUS,B,F,33,"800 31
TE KANSAS CITY, MO 64109
(39.06670420600045, -94.56872872899964)"
90001111,01-05-2009 00:00,16:03,01-05-2009 00:00,00:01,640,23F,Stealing From Auto,633,1400  NE VIVION RD ,KANSAS CITY,64118,PC1033,SCP,U,1,VIC,W,M,46,"1400 VIVION RD
KANSAS CITY, MO 64118
(39.18293528200047, -94.59760371799968)"
90001108,01-05-2009 00:00,16:37,01-05-2009 00:00,16:15,1401,290,Property Damage,635,4100  N WHEELING AV,KANSAS CITY,64119,PC1230,SCP,U,1,ARR,B,M,13,"4100 WHEELING AV
KANSAS CITY, MO 64119
(38.92507321700049, -94.5192259909997)"
90001130,01-05-2009 00:00,18:20,01-05-2009 00:00,18:20,630,23C,Stealing Shoplifting,345,11600  E US 40 HW E,INDEPENDENCE,64133,PJX007,EPD,U,2,ARR,B,F,13,"11600 US
HW E INDEPENDENCE, MO 64133
(39.01552004100046, -94.45947791099968)"
90001321,01-06-2009 00:00,12:10,01-03-2009 00:00,09:00,1401,290,Property Damage,131,3400  BROADWAY,KANSAS CITY,64111,PJ2749,CPD,U,1,SUS,U,U,,"3400 BROADWAY
KANSAS CITY, MO 64111
(39.06651272200048, -94.59019701399967)"
90001144,01-05-2009 00:00,19:48,01-05-2009 00:00,18:00,702,240,Auto Theft,212,4000  E 67 TE,KANSAS CITY,64132,PJ5232,MPD,U,1,VIC,B,F,60,"4000 67
TE KANSAS CITY, MO 64132
(38.986860385000455, -94.55216991399965)"
90001147,01-05-2009 00:00,18:54,01-05-2009 00:00,16:30,801,13B,Non Aggravated Assau,535,400  E 137 ST,KANSAS CITY,64145,PJ7431,SPD,U,1,VIC,W,M,37,"400 137 ST
KANSAS CITY, MO 64145
(38.87896481300049, -94.59037631999968)"
90001144,01-05-2009 00:00,19:48,01-05-2009 00:00,18:00,702,240,Auto Theft,212,4000  E 67 TE,KANSAS CITY,64132,PJ5232,MPD,U,2,VIC,B,M,,"4000 67
TE KANSAS CITY, MO 64132
(38.986860385000455, -94.55216991399965)"
90001143,01-05-2009 00:00,19:33,01-05-2009 00:00,19:15,630,23C,Stealing Shoplifting,643,8500  N CHURCH RD,KANSAS CITY,64157,PC0282,SCP,U,1,ARR,W,F,16,"8500 CHURCH RD
KANSAS CITY, MO 64157
(39.2460676770005, -94.45868106599966)"
90001141,01-05-2009 00:00,19:05,01-05-2009 00:00,19:00,401,13A,Aggravated Assault (,315,500  N LAWNDALE AV,KANSAS CITY,64123,PJ0166,EPD,U,4,VIC,W,F,17,"500 LAWNDALE AV
KANSAS CITY, MO 64123
(39.10681309200049, -94.51554575299969)"
90001146,01-05-2009 00:00,19:31,01-05-2009 00:00,19:30,402,13A,Agg Assault - Drive-,242,7400  COLLEGE AV,KANSAS CITY,64313,PJ5644,MPD,U,1,SUS,B,M,,"7400 COLLEGE AV
KANSAS CITY, MO 64313
(38.992132477000496, -94.5490373079997)"
90001146,01-05-2009 00:00,19:31,01-05-2009 00:00,19:30,402,13A,Agg Assault - Drive-,242,7400  COLLEGE AV,KANSAS CITY,64313,PJ5644,MPD,U,1,VIC,B,M,37,"7400 COLLEGE AV
KANSAS CITY, MO 64313
(38.992132477000496, -94.5490373079997)"
90001141,01-05-2009 00:00,19:05,01-05-2009 00:00,19:00,401,13A,Aggravated Assault (,315,500  N LAWNDALE AV,KANSAS CITY,64123,PJ0166,EPD,U,2,VIC,W,F,14,"500 LAWNDALE AV
KANSAS CITY, MO 64123
(39.10681309200049, -94.51554575299969)"
90001146,01-07-2009 00:00,15:38,01-07-2009 00:00,15:15,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,VIC,B,M,37,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
90001147,01-05-2009 00:00,18:54,01-05-2009 00:00,16:30,801,13B,Non Aggravated Assau,535,400  E 137 ST,KANSAS CITY,64145,PJ7431,SPD,N,1,SUS,W,M,17,"400 137 ST
KANSAS CITY, MO 64145
(38.87896481300049, -94.59037631999968)"
90001141,01-05-2009 00:00,19:05,01-05-2009 00:00,19:00,401,13A,Aggravated Assault (,315,500  N LAWNDALE AV,KANSAS CITY,64123,PJ0166,EPD,U,1,SUS,U,U,,"500 LAWNDALE AV
KANSAS CITY, MO 64123
(39.10681309200049, -94.51554575299969)"
90001147,01-05-2009 00:00,18:54,01-05-2009 00:00,16:30,801,13B,Non Aggravated Assau,535,400  E 137 ST,KANSAS CITY,64145,PJ7431,SPD,U,2,VIC,B,M,23,"400 137 ST
KANSAS CITY, MO 64145
(38.87896481300049, -94.59037631999968)"
90001141,01-05-2009 00:00,19:05,01-05-2009 00:00,19:00,401,13A,Aggravated Assault (,315,500  N LAWNDALE AV,KANSAS CITY,64123,PJ0166,EPD,U,3,VIC,W,M,18,"500 LAWNDALE AV
KANSAS CITY, MO 64123
(39.10681309200049, -94.51554575299969)"
90001143,01-05-2009 00:00,19:33,01-05-2009 00:00,19:15,630,23C,Stealing Shoplifting,643,8500  N CHURCH RD,KANSAS CITY,64157,PC0282,SCP,U,1,VIC,,,,"8500 CHURCH RD
KANSAS CITY, MO 64157
(39.2460676770005, -94.45868106599966)"
90001136,01-05-2009 00:00,18:48,12/30/2008 0:00,06:00,650,23G,Stealing Auto Parts/,134,W 51 ST/WARD PK S,KANSAS CITY,64111,PJ4003,CPD,U,1,SUS,U,U,,"51 ST WARD PK
KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
90001136,01-05-2009 00:00,18:48,12/30/2008 0:00,06:00,650,23G,Stealing Auto Parts/,134,W 51 ST/WARD PK S,KANSAS CITY,64111,PJ4003,CPD,U,1,VIC,W,M,37,"51 ST WARD PK
KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
90001137,01-05-2009 00:00,19:00,01-04-2008 00:00,14:00,802,13B,Non Agg Assault Dome,543,7600  E 107 ST,KANSAS CITY,64134,PJ6900,SPD,Y,1,VIC,B,M,7,"7600 107 ST
KANSAS CITY, MO 64134
(38.930318302000444, -94.50156971999968)"
90020991,3/23/2009 0:00,13:59,3/23/2009 0:00,13:46,702,240,Auto Theft,313,3200  E 8 ST,KANSAS CITY,,PJ0816,EPD,U,1,VIC,B,M,56,"3200 8 ST
KANSAS CITY, MO
(39.10326512000046, -94.54411164799967)"
90019141,3/16/2009 0:00,18:26,3/16/2009 0:00,18:26,2402,90C,Disorderly Conduct,125,E 35 ST/WOODLAND AV,KANSAS CITY,64109,PJ2752,CPD,U,1,ARR,B,M,20,"35 ST WOODLAND AV
KANSAS CITY, MO 64109
(39.06670420600045, -94.56872872899964)"
90001156,01-05-2009 00:00,18:54,10-01-2008 00:00,08:00,670,23D,Stealing from Buildi,535,200  W 128 ST,KANSAS CITY,64145,PJ7358,SPD,U,2,VIC,W,M,47,"200 128 ST
KANSAS CITY, MO 64145
(38.89645603200046, -94.59787998399969)"
90001151,01-05-2009 00:00,19:55,01-05-2009 00:00,19:55,1849,35A,Possession/Sale/Dist,334,4600  CHESTNUT AV,KANSAS CITY,64130,PJ3745,EPD,U,2,ARR,B,M,27,"4600 CHESTNUT AV
KANSAS CITY, MO 64130
(39.04256242700046, -94.55200543199965)"
90001149,01-05-2009 00:00,18:51,01-05-2009 00:00,07:15,501,220,Burglary - Residence,125,3400  FLORA AV,KCMO,64109,PJ2782,CPD,N,1,VIC,B,F,37,"3400 FLORA AV
KCMO, MO 64109
(39.06476181500045, -94.56582630799966)"
90001159,01-05-2009 00:00,21:27,01-05-2009 00:00,18:00,640,23F,Stealing From Auto,221,200  E EMANUEL CLEAVER II BL,KANSAS CITY,64112,PJ3772,MPD,U,1,SUS,U,U,,"200 EMANUEL
CLEAVER II BL KANSAS CITY, MO 64112
(39.039812967000444, -94.5913966229997)"
90001150,01-05-2009 00:00,18:54,01-05-2009 00:00,18:54,630,23C,Stealing Shoplifting,535,13100  HOLMES RD,KANSAS CITY,64145,PJ7403,SPD,U,1,ARR,W,M,46,"13100 HOLMES RD
KANSAS CITY, MO 64145
(38.889542633000474, -94.5860654979997)"
90001149,01-05-2009 00:00,18:51,01-05-2009 00:00,07:15,501,220,Burglary - Residence,125,3400  FLORA AV,KCMO,64109,PJ2782,CPD,U,3,VIC,B,M,1,"3400 FLORA AV
KCMO, MO 64109
(39.06476181500045, -94.56582630799966)"
90001151,01-05-2009 00:00,19:55,01-05-2009 00:00,19:55,1849,35A,Possession/Sale/Dist,334,4600  CHESTNUT AV,KANSAS CITY,64130,PJ3745,EPD,U,1,ARR,B,M,24,"4600 CHESTNUT AV
KANSAS CITY, MO 64130
(39.04256242700046, -94.55200543199965)"
90001148,01-05-2009 00:00,20:00,01-05-2009 00:00,17:30,1401,290,Property Damage,234,9400  MYRTLE AV,KANSAS CITY,64132,PJ6447,MPD,U,1,VIC,W,M,59,"9400 MYRTLE AV
KANSAS CITY, MO 64132
(38.956363155000474, -94.54179671699967)"
90001151,01-05-2009 00:00,19:55,01-05-2009 00:00,19:55,1849,35A,Possession/Sale/Dist,334,4600  CHESTNUT AV,KANSAS CITY,64130,PJ3745,EPD,U,1,VIC,,,,"4600 CHESTNUT AV
KANSAS CITY, MO 64130
(39.04256242700046, -94.55200543199965)"
90001149,01-05-2009 00:00,18:51,01-05-2009 00:00,07:15,501,220,Burglary - Residence,125,3400  FLORA AV,KCMO,64109,PJ2782,CPD,U,1,SUS,U,U,,"3400 FLORA AV
KCMO, MO 64109
(39.06476181500045, -94.56582630799966)"
90001156,01-05-2009 00:00,18:54,10-01-2008 00:00,08:00,670,23D,Stealing from Buildi,535,200  W 128 ST,KANSAS CITY,64145,PJ7358,SPD,U,1,VIC,W,F,45,"200 128 ST
KANSAS CITY, MO 64145
(38.89645603200046, -94.59787998399969)"
90001151,01-05-2009 00:00,19:55,01-05-2009 00:00,19:55,1850,35B,Possession of Drug E,334,4600  CHESTNUT AV,KANSAS CITY,64130,PJ3745,EPD,U,2,ARR,B,M,27,"4600 CHESTNUT AV
KANSAS CITY, MO 64130
(39.04256242700046, -94.55200543199965)"
90001153,01-05-2009 00:00,20:30,01-05-2009 00:00,19:00,1401,290,Property Damage,143,3900  FOREST AV,KANSAS CITY,64110,PJ3153,CPD,U,1,SUS,U,U,,"3900 FOREST AV
KANSAS CITY, MO 64110
(39.05589295600049, -94.57086596999966)"
90001149,01-05-2009 00:00,18:51,01-05-2009 00:00,07:15,501,220,Burglary - Residence,125,3400  FLORA AV,KCMO,64109,PJ2782,CPD,U,2,VIC,B,M,13,"3400 FLORA AV
KCMO, MO 64109
(39.06476181500045, -94.56582630799966)"
90001151,01-05-2009 00:00,19:55,01-05-2009 00:00,19:55,1850,35B,Possession of Drug E,334,4600  CHESTNUT AV,KANSAS CITY,64130,PJ3745,EPD,U,1,ARR,B,M,24,"4600 CHESTNUT AV
KANSAS CITY, MO 64130
(39.04256242700046, -94.55200543199965)"
90001151,01-05-2009 00:00,19:55,01-05-2009 00:00,19:55,1850,35B,Possession of Drug E,334,4600  CHESTNUT AV,KANSAS CITY,64130,PJ3745,EPD,U,1,VIC,,,,"4600 CHESTNUT AV
KANSAS CITY, MO 64130
(39.04256242700046, -94.55200543199965)"
90001156,01-05-2009 00:00,18:54,10-01-2008 00:00,08:00,670,23D,Stealing from Buildi,535,200  W 128 ST,KANSAS CITY,64145,PJ7358,SPD,U,1,SUS,U,U,,"200 128 ST
KANSAS CITY, MO 64145
(38.89645603200046, -94.59787998399969)"
90001173,01-05-2009 00:00,21:31,12/29/2008 0:00,18:00,501,220,Burglary - Residence,123,1200  MICHIGAN AV,KANSAS CITY,64127,PJ1133,CPD,U,1,SUS,U,U,,"1200 MICHIGAN AV
KANSAS CITY, MO 64127
(39.098211911000476, -94.55967566899966)"
90001164,01-05-2009 00:00,21:54,12-11-2008 00:00,13:00,640,23F,Stealing From Auto,232,1200  E MEYER BL,KANSAS CITY,64110,PJ4934,MPD,U,1,VIC,W,F,30,"1200 MEYER
BL KANSAS CITY, MO 64110
(39.03595025700048, -94.5732171199997)"
90001175,01-05-2009 00:00,22:18,01-05-2009 00:00,22:18,501,220,Burglary - Residence,211,5300  SWOPE PK,KANSAS CITY,64130,PJ4335,MPD,U,1,VIC,B,F,37,"5300 SWOPE PK
KANSAS CITY, MO 64130
(39.02908188100048, -94.54272145799968)"
90001174,01-05-2009 00:00,22:05,01-05-2009 00:00,21:30,402,13A,Agg Assault - Drive-,341,2000  DRURY AV,KANSAS CITY,64127,PJ1807,EPD,U,3,VIC,W,F,17,"2000 DRURY AV
KANSAS CITY, MO 64127
(39.08680225900048, -94.51859205899967)"
90001169,01-05-2009 00:00,20:01,01-05-2009 00:00,08:00,1401,290,Property Damage,242,7600  MONROE AV ,KANSAS CITY,,PJ5718,MPD,U,1,SUS,U,U,,"7600 MONROE AV
KANSAS CITY, MO
(38.9901221020005, -94.54481750299965)"
90001162,01-05-2009 00:00,21:11,01-05-2009 00:00,21:09,702,240,Auto Theft,122,"1600  JOHN BUCK"" O'NEIL WAY""",KANSAS CITY,64108,PJ0993,CPD,N,1,VIC,B,M,43,"1600 JOHN BUCK O'NEIL WAY
KANSAS CITY, MO 64108
(39.09210643300048, -94.56317189199967)"
90001163,01-05-2009 00:00,21:21,01-05-2009 00:00,21:00,802,13B,Non Agg Assault Dome,414,4500  NW 78 TE ,KANSAS CITY,64151,PP0454,NPD,Y,1,VIC,W,F,31,"4500 78
TE KANSAS CITY, MO 64151
(39.21624191500047, -94.6344165219997)"
90001175,01-05-2009 00:00,22:18,01-05-2009 00:00,22:18,501,220,Burglary - Residence,211,5300  SWOPE PK,KANSAS CITY,64130,PJ4335,MPD,U,1,SUS,U,U,,"5300 SWOPE PK
KANSAS CITY, MO 64130
(39.02908188100048, -94.54272145799968)"
90001174,01-05-2009 00:00,22:05,01-05-2009 00:00,21:30,402,13A,Agg Assault - Drive-,341,2000  DRURY AV,KANSAS CITY,64127,PJ1807,EPD,U,2,VIC,W,M,44,"2000 DRURY AV
KANSAS CITY, MO 64127
(39.08680225900048, -94.51859205899967)"
90001164,01-05-2009 00:00,21:54,12-11-2008 00:00,13:00,640,23F,Stealing From Auto,232,1200  E MEYER BL,KANSAS CITY,64110,PJ4934,MPD,U,1,SUS,U,U,,"1200 MEYER
BL KANSAS CITY, MO 64110
(39.03595025700048, -94.5732171199997)"
90001162,01-05-2009 00:00,21:11,01-05-2009 00:00,21:09,702,240,Auto Theft,122,"1600  JOHN BUCK"" O'NEIL WAY""",KANSAS CITY,64108,PJ0993,CPD,N,1,SUS,B,M,9,"1600 JOHN BUCK O'NEIL WAY
KANSAS CITY, MO 64108
(39.09210643300048, -94.56317189199967)"
